Transaction_ID,Date,Product_Category,Product_Name,Units_Sold,Unit_Price,Total_Revenue,Region,Payment_Method
10001.00,2024-01-01,Electronics,iPhone 14 Pro,2.00,999.99,1999.98,North America,Credit Card
10002.00,2024-01-02,Home Appliances,Dyson V11 Vacuum,1.00,499.99,499.99,Europe,PayPal
10003.00,2024-01-03,Clothing,Levi's 501 Jeans,3.00,69.99,209.97,Asia,Debit Card
10004.00,2024-01-04,Books,The Da Vinci Code,4.00,15.99,63.96,North America,Credit Card
10005.00,2024-01-05,Beauty Products,Neutrogena Skincare Set,1.00,89.99,89.99,Europe,PayPal
10006.00,2024-01-06,Sports,Wilson Evolution Basketball,5.00,29.99,149.95,Asia,Credit Card
10007.00,2024-01-07,Electronics,MacBook Pro 16-inch,1.00,2499.99,2499.99,North America,Credit Card
10008.00,2024-01-08,Home Appliances,Blueair Classic 480i,2.00,599.99,1199.98,Europe,PayPal
10009.00,2024-01-09,Clothing,Nike Air Force 1,6.00,89.99,539.94,Asia,Debit Card
10010.00,2024-01-10,Books,Dune by Frank Herbert,2.00,25.99,51.98,North America,Credit Card
10011.00,2024-01-11,Beauty Products,Chanel No. 5 Perfume,1.00,129.99,129.99,Europe,PayPal
10012.00,2024-01-12,Sports,Babolat Pure Drive Tennis Racket,3.00,199.99,599.97,Asia,Credit Card
10013.00,2024-01-13,Electronics,Samsung Galaxy Tab S8,2.00,749.99,1499.98,North America,Credit Card
10014.00,2024-01-14,Home Appliances,Keurig K-Elite Coffee Maker,1.00,189.99,189.99,Europe,PayPal
10015.00,2024-01-15,Clothing,North Face Down Jacket,2.00,249.99,499.98,Asia,Debit Card
10016.00,2024-01-16,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3.00,35.99,107.97,North America,Credit Card
10017.00,2024-01-17,Beauty Products,Dyson Supersonic Hair Dryer,1.00,399.99,399.99,Europe,PayPal
10018.00,2024-01-18,Sports,Manduka PRO Yoga Mat,4.00,119.99,479.96,Asia,Credit Card
10019.00,2024-01-19,Electronics,Garmin Forerunner 945,2.00,499.99,999.98,North America,Credit Card
10020.00,2024-01-20,Home Appliances,Ninja Professional Blender,1.00,99.99,99.99,Europe,PayPal
10021.00,2024-01-21,Clothing,Zara Summer Dress,3.00,59.99,179.97,Asia,Debit Card
10022.00,2024-01-22,Books,Gone Girl by Gillian Flynn,2.00,22.99,45.98,North America,Credit Card
10023.00,2024-01-23,Beauty Products,Olay Regenerist Face Cream,1.00,49.99,49.99,Europe,PayPal
10024.00,2024-01-24,Sports,Adidas FIFA World Cup Football,3.00,29.99,89.97,Asia,Credit Card
10025.00,2024-01-25,Electronics,Bose QuietComfort 35 Headphones,1.00,299.99,299.99,North America,Credit Card
10026.00,2024-01-26,Home Appliances,Panasonic NN-SN966S Microwave,1.00,179.99,179.99,Europe,PayPal
10027.00,2024-01-27,Clothing,Adidas Ultraboost Shoes,2.00,179.99,359.98,Asia,Debit Card
10028.00,2024-01-28,Books,Pride and Prejudice by Jane Austen,3.00,12.99,38.97,North America,Credit Card
10029.00,2024-01-29,Beauty Products,MAC Ruby Woo Lipstick,1.00,29.99,29.99,Europe,PayPal
10030.00,2024-01-30,Sports,Nike Air Zoom Pegasus 37,2.00,129.99,259.98,Asia,Credit Card
10031.00,2024-01-31,Electronics,Sony WH-1000XM4 Headphones,2.00,349.99,699.98,North America,Credit Card
10032.00,2024-02-01,Home Appliances,Instant Pot Duo,3.00,89.99,269.97,Europe,PayPal
10033.00,2024-02-02,Clothing,Under Armour HeatGear T-Shirt,5.00,29.99,149.95,Asia,Debit Card
10034.00,2024-02-03,Books,1984 by George Orwell,4.00,19.99,79.96,North America,Credit Card
10035.00,2024-02-04,Beauty Products,L'Oreal Revitalift Serum,2.00,39.99,79.98,Europe,PayPal
10036.00,2024-02-05,Sports,Peloton Bike,1.00,1895.00,1895.00,Asia,Credit Card
10037.00,2024-02-06,Electronics,Apple Watch Series 8,3.00,399.99,1199.97,North America,Credit Card
10038.00,2024-02-07,Home Appliances,Roomba i7+,2.00,799.99,1599.98,Europe,PayPal
10039.00,2024-02-08,Clothing,Columbia Fleece Jacket,4.00,59.99,239.96,Asia,Debit Card
10040.00,2024-02-09,Books,Harry Potter and the Sorcerer's Stone,3.00,24.99,74.97,North America,Credit Card
10041.00,2024-02-10,Beauty Products,Estee Lauder Advanced Night Repair,1.00,105.00,105.00,Europe,PayPal
10042.00,2024-02-11,Sports,Fitbit Charge 5,2.00,129.99,259.98,Asia,Credit Card
10043.00,2024-02-12,Electronics,GoPro HERO10 Black,3.00,399.99,1199.97,North America,Credit Card
10044.00,2024-02-13,Home Appliances,Nespresso VertuoPlus,1.00,199.99,199.99,Europe,PayPal
10045.00,2024-02-14,Clothing,Patagonia Better Sweater,2.00,139.99,279.98,Asia,Debit Card
10046.00,2024-02-15,Books,Becoming by Michelle Obama,4.00,32.50,130.00,North America,Credit Card
10047.00,2024-02-16,Beauty Products,Clinique Moisture Surge,1.00,52.00,52.00,Europe,PayPal
10048.00,2024-02-17,Sports,Yeti Rambler Tumbler,6.00,39.99,239.94,Asia,Credit Card
10049.00,2024-02-18,Electronics,Kindle Paperwhite,2.00,129.99,259.98,North America,Credit Card
10050.00,2024-02-19,Home Appliances,Breville Smart Oven,1.00,299.99,299.99,Europe,PayPal
10051.00,2024-02-20,Clothing,Ray-Ban Aviator Sunglasses,3.00,154.99,464.97,Asia,Debit Card
10052.00,2024-02-21,Books,The Silent Patient by Alex Michaelides,2.00,26.99,53.98,North America,Credit Card
10053.00,2024-02-22,Beauty Products,Shiseido Ultimate Sun Protector,1.00,49.00,49.00,Europe,PayPal
10054.00,2024-02-23,Sports,Titleist Pro V1 Golf Balls,5.00,49.99,249.95,Asia,Credit Card
10055.00,2024-02-24,Electronics,Anker PowerCore Portable Charger,4.00,59.99,239.96,North America,Credit Card
10056.00,2024-02-25,Home Appliances,KitchenAid Artisan Stand Mixer,1.00,499.99,499.99,Europe,PayPal
10057.00,2024-02-26,Clothing,Calvin Klein Boxer Briefs,5.00,29.99,149.95,Asia,Debit Card
10058.00,2024-02-27,Books,Educated by Tara Westover,3.00,28.00,84.00,North America,Credit Card
10059.00,2024-02-28,Beauty Products,Anastasia Beverly Hills Brow Wiz,2.00,23.00,46.00,Europe,PayPal
10060.00,2024-02-29,Sports,Hyperice Hypervolt Massager,1.00,349.00,349.00,Asia,Credit Card
10061.00,2024-03-01,Electronics,Nintendo Switch,3.00,299.99,899.97,North America,Credit Card
10062.00,2024-03-02,Home Appliances,Philips Airfryer XXL,2.00,199.99,399.98,Europe,PayPal
10063.00,2024-03-03,Clothing,Hanes ComfortSoft T-Shirt,10.00,9.99,99.90,Asia,Debit Card
10064.00,2024-03-04,Books,Where the Crawdads Sing by Delia Owens,4.00,18.99,75.96,North America,Credit Card
10065.00,2024-03-05,Beauty Products,Lancome La Vie Est Belle,1.00,102.00,102.00,Europe,PayPal
10066.00,2024-03-06,Sports,Garmin Edge 530,2.00,299.99,599.98,Asia,Credit Card
10067.00,2024-03-07,Electronics,Samsung QLED 4K TV,1.00,1199.99,1199.99,North America,Credit Card
10068.00,2024-03-08,Home Appliances,Eufy RoboVac 11S,3.00,219.99,659.97,Europe,PayPal
10069.00,2024-03-09,Clothing,Puma Suede Classic Sneakers,4.00,59.99,239.96,Asia,Debit Card
10070.00,2024-03-10,Books,The Great Gatsby by F. Scott Fitzgerald,2.00,10.99,21.98,North America,Credit Card
10071.00,2024-03-11,Beauty Products,Drunk Elephant C-Firma Day Serum,1.00,78.00,78.00,Europe,PayPal
10072.00,2024-03-12,Sports,Nike Metcon 6,3.00,129.99,389.97,Asia,Credit Card
10073.00,2024-03-13,Electronics,HP Spectre x360 Laptop,1.00,1599.99,1599.99,North America,Credit Card
10074.00,2024-03-14,Home Appliances,De'Longhi Magnifica Espresso Machine,1.00,899.99,899.99,Europe,PayPal
10075.00,2024-03-15,Clothing,Tommy Hilfiger Polo Shirt,5.00,49.99,249.95,Asia,Debit Card
10076.00,2024-03-16,Books,To Kill a Mockingbird by Harper Lee,4.00,14.99,59.96,North America,Credit Card
10077.00,2024-03-17,Beauty Products,Glossier Boy Brow,2.00,16.00,32.00,Europe,PayPal
10078.00,2024-03-18,Sports,Rogue Fitness Kettlebell,3.00,69.99,209.97,Asia,Credit Card
10079.00,2024-03-19,Electronics,Apple AirPods Pro,2.00,249.99,499.98,North America,Credit Card
10080.00,2024-03-20,Home Appliances,Dyson Pure Cool Link,1.00,499.99,499.99,Europe,PayPal
10081.00,2024-03-21,Clothing,Levi's Trucker Jacket,2.00,89.99,179.98,Asia,Debit Card
10082.00,2024-03-22,Books,The Hobbit by J.R.R. Tolkien,3.00,12.99,38.97,North America,Credit Card
10083.00,2024-03-23,Beauty Products,Charlotte Tilbury Magic Cream,1.00,100.00,100.00,Europe,PayPal
10084.00,2024-03-24,Sports,Spalding NBA Street Basketball,6.00,24.99,149.94,Asia,Credit Card
10085.00,2024-03-25,Electronics,Ring Video Doorbell,1.00,99.99,99.99,North America,Credit Card
10086.00,2024-03-26,Home Appliances,LG OLED TV,2.00,1299.99,2599.98,Europe,PayPal
10087.00,2024-03-27,Clothing,Uniqlo Ultra Light Down Jacket,3.00,79.99,239.97,Asia,Debit Card
10088.00,2024-03-28,Books,The Catcher in the Rye by J.D. Salinger,4.00,13.99,55.96,North America,Credit Card
10089.00,2024-03-29,Beauty Products,Sunday Riley Good Genes,1.00,105.00,105.00,Europe,PayPal
10090.00,2024-03-30,Sports,On Running Cloud Shoes,2.00,129.99,259.98,Asia,Credit Card
10091.00,2024-03-31,Electronics,Logitech MX Master 3 Mouse,2.00,99.99,199.98,North America,Credit Card
10092.00,2024-04-01,Home Appliances,Instant Pot Duo Crisp,1.00,179.99,179.99,Europe,PayPal
10093.00,2024-04-02,Clothing,Adidas Originals Superstar Sneakers,4.00,79.99,319.96,Asia,Debit Card
10094.00,2024-04-03,Books,The Alchemist by Paulo Coelho,3.00,14.99,44.97,North America,Credit Card
10095.00,2024-04-04,Beauty Products,Tatcha The Water Cream,1.00,68.00,68.00,Europe,PayPal
10096.00,2024-04-05,Sports,Garmin Fenix 6X Pro,1.00,999.99,999.99,Asia,Credit Card
10097.00,2024-04-06,Electronics,Bose SoundLink Revolve+ Speaker,3.00,299.99,899.97,North America,Credit Card
10098.00,2024-04-07,Home Appliances,Vitamix Explorian Blender,1.00,349.99,349.99,Europe,PayPal
10099.00,2024-04-08,Clothing,Gap Essential Crewneck T-Shirt,6.00,19.99,119.94,Asia,Debit Card
10100.00,2024-04-09,Books,The Power of Now by Eckhart Tolle,2.00,12.99,25.98,North America,Credit Card
10101.00,2024-04-10,Beauty Products,Kiehl's Midnight Recovery Concentrate,1.00,82.00,82.00,Europe,PayPal
10102.00,2024-04-11,Sports,Under Armour HOVR Sonic 4 Shoes,2.00,109.99,219.98,Asia,Credit Card
10103.00,2024-04-12,Electronics,Canon EOS R5 Camera,1.00,3899.99,3899.99,North America,Credit Card
10104.00,2024-04-13,Home Appliances,Shark IQ Robot Vacuum,2.00,349.99,699.98,Europe,PayPal
10105.00,2024-04-14,Clothing,H&M Slim Fit Jeans,3.00,39.99,119.97,Asia,Debit Card
10106.00,2024-04-15,Books,The Girl on the Train by Paula Hawkins,4.00,10.99,43.96,North America,Credit Card
10107.00,2024-04-16,Beauty Products,The Ordinary Niacinamide Serum,1.00,6.50,6.50,Europe,PayPal
10108.00,2024-04-17,Sports,Bowflex SelectTech 552 Dumbbells,1.00,399.99,399.99,Asia,Credit Card
